;alive;alive
1945-02-06;1945;[1940, 1950[
1945-03-06;1945;[1940, 1950[
1945-04-01;1945;[1940, 1950[
1945-04-13;1945;[1940, 1950[
1945-04-20;1945;[1940, 1950[
1945-04-29;1945;[1940, 1950[
1945-05-26;1945;[1940, 1950[
1945-06-16;1945;[1940, 1950[
1945-06-23;1945;[1940, 1950[
1945-07-28;1945;[1940, 1950[
1945-08-07;1945;[1940, 1950[
1945-08-21;1945;[1940, 1950[
1945-08-27;1945;[1940, 1950[
1945-08-31;1945;[1940, 1950[
1945-09-05;1945;[1940, 1950[
1945-10-05;1945;[1940, 1950[
1945-10-10;1945;[1940, 1950[
1945-10-24;1945;[1940, 1950[
1945-11-03;1945;[1940, 1950[
1945-11-15;1945;[1940, 1950[
1945-11-21;1945;[1940, 1950[
1945-12-18;1945;[1940, 1950[
1945-12-23;1945;[1940, 1950[
1946-01-01;1946;[1940, 1950[
1946-02-15;1946;[1940, 1950[
1946-03-02;1946;[1940, 1950[
1946-03-06;1946;[1940, 1950[
1946-03-08;1946;[1940, 1950[
1946-03-10;1946;[1940, 1950[
1946-03-12;1946;[1940, 1950[
1946-03-17;1946;[1940, 1950[
1946-03-22;1946;[1940, 1950[
1946-03-29;1946;[1940, 1950[
1946-03-31;1946;[1940, 1950[
1946-04-02;1946;[1940, 1950[
1946-04-07;1946;[1940, 1950[
1946-04-13;1946;[1940, 1950[
1946-05-11;1946;[1940, 1950[
1946-05-18;1946;[1940, 1950[
1946-05-27;1946;[1940, 1950[
1946-06-04;1946;[1940, 1950[
1946-06-07;1946;[1940, 1950[
1946-06-17;1946;[1940, 1950[
1946-06-26;1946;[1940, 1950[
1946-07-06;1946;[1940, 1950[
1946-07-08;1946;[1940, 1950[
1946-07-17;1946;[1940, 1950[
1946-07-26;1946;[1940, 1950[
1946-07-30;1946;[1940, 1950[
1946-08-29;1946;[1940, 1950[
1946-08-31;1946;[1940, 1950[
1946-09-14;1946;[1940, 1950[
1946-10-08;1946;[1940, 1950[
1946-10-27;1946;[1940, 1950[
1946-11-22;1946;[1940, 1950[
1946-11-24;1946;[1940, 1950[
1946-12-08;1946;[1940, 1950[
1947-01-09;1947;[1940, 1950[
1947-01-17;1947;[1940, 1950[
1947-02-04;1947;[1940, 1950[
1947-02-13;1947;[1940, 1950[
1947-03-13;1947;[1940, 1950[
1947-03-15;1947;[1940, 1950[
1947-03-24;1947;[1940, 1950[
1947-03-28;1947;[1940, 1950[
1947-03-29;1947;[1940, 1950[
1947-04-01;1947;[1940, 1950[
1947-04-17;1947;[1940, 1950[
1947-05-09;1947;[1940, 1950[
1947-05-10;1947;[1940, 1950[
1947-06-04;1947;[1940, 1950[
1947-06-10;1947;[1940, 1950[
1947-06-18;1947;[1940, 1950[
1947-07-02;1947;[1940, 1950[
1947-07-09;1947;[1940, 1950[
1947-07-20;1947;[1940, 1950[
1947-08-03;1947;[1940, 1950[
1947-08-11;1947;[1940, 1950[
1947-08-14;1947;[1940, 1950[
1947-08-31;1947;[1940, 1950[
1947-09-02;1947;[1940, 1950[
1947-10-18;1947;[1940, 1950[
1947-11-20;1947;[1940, 1950[
1947-12-06;1947;[1940, 1950[
1947-12-18;1947;[1940, 1950[
1947-12-31;1947;[1940, 1950[
1948-01-01;1948;[1940, 1950[
1948-01-04;1948;[1940, 1950[
1948-01-12;1948;[1940, 1950[
1948-01-15;1948;[1940, 1950[
1948-02-07;1948;[1940, 1950[
1948-02-15;1948;[1940, 1950[
1948-02-24;1948;[1940, 1950[
1948-03-02;1948;[1940, 1950[
1948-03-06;1948;[1940, 1950[
1948-03-15;1948;[1940, 1950[
1948-03-17;1948;[1940, 1950[
1948-03-18;1948;[1940, 1950[
1948-03-31;1948;[1940, 1950[
1948-04-16;1948;[1940, 1950[
1948-04-21;1948;[1940, 1950[
1948-05-22;1948;[1940, 1950[
1948-06-01;1948;[1940, 1950[
1948-06-04;1948;[1940, 1950[
1948-06-09;1948;[1940, 1950[
1948-06-16;1948;[1940, 1950[
1948-06-26;1948;[1940, 1950[
1948-07-07;1948;[1940, 1950[
1948-07-27;1948;[1940, 1950[
1948-08-30;1948;[1940, 1950[
1948-09-05;1948;[1940, 1950[
1948-09-08;1948;[1940, 1950[
1948-10-02;1948;[1940, 1950[
1948-10-09;1948;[1940, 1950[
1948-10-31;1948;[1940, 1950[
1948-11-19;1948;[1940, 1950[
1948-11-25;1948;[1940, 1950[
1948-12-03;1948;[1940, 1950[
1948-12-14;1948;[1940, 1950[
1949-01-04;1949;[1940, 1950[
1949-01-06;1949;[1940, 1950[
1949-01-29;1949;[1940, 1950[
1949-02-04;1949;[1940, 1950[
1949-02-11;1949;[1940, 1950[
1949-02-17;1949;[1940, 1950[
1949-02-19;1949;[1940, 1950[
1949-03-06;1949;[1940, 1950[
1949-03-21;1949;[1940, 1950[
1949-03-25;1949;[1940, 1950[
1949-04-16;1949;[1940, 1950[
1949-04-28;1949;[1940, 1950[
1949-05-06;1949;[1940, 1950[
1949-05-07;1949;[1940, 1950[
1949-05-14;1949;[1940, 1950[
1949-05-21;1949;[1940, 1950[
1949-05-22;1949;[1940, 1950[
1949-06-12;1949;[1940, 1950[
1949-06-23;1949;[1940, 1950[
1949-06-25;1949;[1940, 1950[
1949-07-16;1949;[1940, 1950[
1949-07-17;1949;[1940, 1950[
1949-07-21;1949;[1940, 1950[
1949-07-30;1949;[1940, 1950[
1949-07-31;1949;[1940, 1950[
1949-08-12;1949;[1940, 1950[
1949-08-14;1949;[1940, 1950[
1949-08-21;1949;[1940, 1950[
1949-09-08;1949;[1940, 1950[
1949-09-16;1949;[1940, 1950[
1949-09-28;1949;[1940, 1950[
1949-10-02;1949;[1940, 1950[
1949-11-02;1949;[1940, 1950[
1949-11-06;1949;[1940, 1950[
1949-11-18;1949;[1940, 1950[
1949-12-04;1949;[1940, 1950[
1949-12-09;1949;[1940, 1950[
1949-12-12;1949;[1940, 1950[
1949-12-13;1949;[1940, 1950[
1949-12-17;1949;[1940, 1950[
1949-12-22;1949;[1940, 1950[
1949-12-25;1949;[1940, 1950[
1950-01-02;1950;[1950, 1960[
1950-01-03;1950;[1950, 1960[
1950-01-11;1950;[1950, 1960[
1950-01-12;1950;[1950, 1960[
1950-01-19;1950;[1950, 1960[
1950-02-17;1950;[1950, 1960[
1950-02-20;1950;[1950, 1960[
1950-03-13;1950;[1950, 1960[
1950-03-26;1950;[1950, 1960[
1950-04-05;1950;[1950, 1960[
1950-04-14;1950;[1950, 1960[
1950-04-25;1950;[1950, 1960[
1950-04-26;1950;[1950, 1960[
1950-04-29;1950;[1950, 1960[
1950-05-08;1950;[1950, 1960[
1950-05-10;1950;[1950, 1960[
1950-05-11;1950;[1950, 1960[
1950-05-22;1950;[1950, 1960[
1950-05-26;1950;[1950, 1960[
1950-06-26;1950;[1950, 1960[
1950-06-27;1950;[1950, 1960[
1950-07-13;1950;[1950, 1960[
1950-07-18;1950;[1950, 1960[
1950-08-03;1950;[1950, 1960[
1950-08-06;1950;[1950, 1960[
1950-08-07;1950;[1950, 1960[
1950-08-20;1950;[1950, 1960[
1950-09-04;1950;[1950, 1960[
1950-09-13;1950;[1950, 1960[
1950-09-26;1950;[1950, 1960[
1950-09-27;1950;[1950, 1960[
1950-10-06;1950;[1950, 1960[
1950-10-07;1950;[1950, 1960[
1950-10-15;1950;[1950, 1960[
1950-10-28;1950;[1950, 1960[
1950-11-24;1950;[1950, 1960[
1951-01-21;1951;[1950, 1960[
1951-02-11;1951;[1950, 1960[
1951-02-12;1951;[1950, 1960[
1951-02-21;1951;[1950, 1960[
1951-02-25;1951;[1950, 1960[
1951-03-08;1951;[1950, 1960[
1951-03-24;1951;[1950, 1960[
1951-04-04;1951;[1950, 1960[
1951-04-07;1951;[1950, 1960[
1951-04-17;1951;[1950, 1960[
1951-04-25;1951;[1950, 1960[
1951-04-27;1951;[1950, 1960[
1951-05-10;1951;[1950, 1960[
1951-05-11;1951;[1950, 1960[
1951-05-17;1951;[1950, 1960[
1951-05-18;1951;[1950, 1960[
1951-05-27;1951;[1950, 1960[
1951-06-15;1951;[1950, 1960[
1951-06-16;1951;[1950, 1960[
1951-06-17;1951;[1950, 1960[
1951-06-30;1951;[1950, 1960[
1951-07-10;1951;[1950, 1960[
1951-07-13;1951;[1950, 1960[
1951-07-22;1951;[1950, 1960[
1951-08-02;1951;[1950, 1960[
1951-08-09;1951;[1950, 1960[
1951-08-12;1951;[1950, 1960[
1951-08-17;1951;[1950, 1960[
1951-09-08;1951;[1950, 1960[
1951-09-19;1951;[1950, 1960[
1951-09-22;1951;[1950, 1960[
1951-10-11;1951;[1950, 1960[
1951-10-12;1951;[1950, 1960[
1951-10-13;1951;[1950, 1960[
1951-10-21;1951;[1950, 1960[
1951-11-04;1951;[1950, 1960[
1951-11-06;1951;[1950, 1960[
1951-11-16;1951;[1950, 1960[
1951-11-18;1951;[1950, 1960[
1951-11-25;1951;[1950, 1960[
1951-12-03;1951;[1950, 1960[
1951-12-04;1951;[1950, 1960[
1951-12-25;1951;[1950, 1960[
1951-12-31;1951;[1950, 1960[
1952-01-08;1952;[1950, 1960[
1952-01-19;1952;[1950, 1960[
1952-01-21;1952;[1950, 1960[
1952-02-08;1952;[1950, 1960[
1952-02-09;1952;[1950, 1960[
1952-02-15;1952;[1950, 1960[
1952-02-19;1952;[1950, 1960[
1952-02-21;1952;[1950, 1960[
1952-02-22;1952;[1950, 1960[
1952-03-03;1952;[1950, 1960[
1952-03-16;1952;[1950, 1960[
1952-04-01;1952;[1950, 1960[
1952-04-08;1952;[1950, 1960[
1952-04-11;1952;[1950, 1960[
1952-04-16;1952;[1950, 1960[
1952-04-17;1952;[1950, 1960[
1952-04-23;1952;[1950, 1960[
1952-05-08;1952;[1950, 1960[
1952-05-15;1952;[1950, 1960[
1952-05-18;1952;[1950, 1960[
1952-05-22;1952;[1950, 1960[
1952-05-24;1952;[1950, 1960[
1952-06-03;1952;[1950, 1960[
1952-06-09;1952;[1950, 1960[
1952-06-23;1952;[1950, 1960[
1952-07-01;1952;[1950, 1960[
1952-07-27;1952;[1950, 1960[
1952-08-03;1952;[1950, 1960[
1952-08-05;1952;[1950, 1960[
1952-08-08;1952;[1950, 1960[
1952-08-12;1952;[1950, 1960[
1952-08-16;1952;[1950, 1960[
1952-08-20;1952;[1950, 1960[
1952-08-31;1952;[1950, 1960[
1952-09-01;1952;[1950, 1960[
1952-09-02;1952;[1950, 1960[
1952-09-14;1952;[1950, 1960[
1952-09-15;1952;[1950, 1960[
1952-09-21;1952;[1950, 1960[
1952-10-04;1952;[1950, 1960[
1952-10-05;1952;[1950, 1960[
1952-10-08;1952;[1950, 1960[
1952-10-09;1952;[1950, 1960[
1952-10-10;1952;[1950, 1960[
1952-10-31;1952;[1950, 1960[
1952-11-04;1952;[1950, 1960[
1952-11-07;1952;[1950, 1960[
1952-11-08;1952;[1950, 1960[
1952-11-14;1952;[1950, 1960[
1952-12-02;1952;[1950, 1960[
1952-12-09;1952;[1950, 1960[
1952-12-23;1952;[1950, 1960[
1952-12-28;1952;[1950, 1960[
1953-01-03;1953;[1950, 1960[
1953-01-07;1953;[1950, 1960[
1953-01-08;1953;[1950, 1960[
1953-01-27;1953;[1950, 1960[
1953-01-29;1953;[1950, 1960[
1953-01-30;1953;[1950, 1960[
1953-02-17;1953;[1950, 1960[
1953-02-23;1953;[1950, 1960[
1953-02-25;1953;[1950, 1960[
1953-02-26;1953;[1950, 1960[
1953-02-28;1953;[1950, 1960[
1953-03-11;1953;[1950, 1960[
1953-03-12;1953;[1950, 1960[
1953-03-19;1953;[1950, 1960[
1953-03-20;1953;[1950, 1960[
1953-04-14;1953;[1950, 1960[
1953-04-16;1953;[1950, 1960[
1953-05-03;1953;[1950, 1960[
1953-05-23;1953;[1950, 1960[
1953-05-25;1953;[1950, 1960[
1953-05-27;1953;[1950, 1960[
1953-06-07;1953;[1950, 1960[
1953-06-09;1953;[1950, 1960[
1953-06-17;1953;[1950, 1960[
1953-06-22;1953;[1950, 1960[
1953-06-23;1953;[1950, 1960[
1953-06-29;1953;[1950, 1960[
1953-07-03;1953;[1950, 1960[
1953-07-20;1953;[1950, 1960[
1953-07-27;1953;[1950, 1960[
1953-08-04;1953;[1950, 1960[
1953-08-09;1953;[1950, 1960[
1953-08-15;1953;[1950, 1960[
1953-08-17;1953;[1950, 1960[
1953-08-23;1953;[1950, 1960[
1953-08-30;1953;[1950, 1960[
1953-09-03;1953;[1950, 1960[
1953-09-06;1953;[1950, 1960[
1953-09-07;1953;[1950, 1960[
1953-09-11;1953;[1950, 1960[
1953-09-14;1953;[1950, 1960[
1953-09-18;1953;[1950, 1960[
1953-09-19;1953;[1950, 1960[
1953-10-02;1953;[1950, 1960[
1953-10-16;1953;[1950, 1960[
1953-10-17;1953;[1950, 1960[
1953-10-18;1953;[1950, 1960[
1953-10-28;1953;[1950, 1960[
1953-11-08;1953;[1950, 1960[
1953-11-10;1953;[1950, 1960[
1953-11-11;1953;[1950, 1960[
1953-11-13;1953;[1950, 1960[
1953-11-18;1953;[1950, 1960[
1953-11-23;1953;[1950, 1960[
1953-11-26;1953;[1950, 1960[
1953-11-27;1953;[1950, 1960[
1953-12-01;1953;[1950, 1960[
1953-12-09;1953;[1950, 1960[
1953-12-11;1953;[1950, 1960[
1953-12-16;1953;[1950, 1960[
1953-12-17;1953;[1950, 1960[
1953-12-26;1953;[1950, 1960[
1954-01-03;1954;[1950, 1960[
1954-01-06;1954;[1950, 1960[
1954-01-09;1954;[1950, 1960[
1954-01-16;1954;[1950, 1960[
1954-01-20;1954;[1950, 1960[
1954-01-25;1954;[1950, 1960[
1954-01-30;1954;[1950, 1960[
1954-01-31;1954;[1950, 1960[
1954-02-01;1954;[1950, 1960[
1954-02-16;1954;[1950, 1960[
1954-03-01;1954;[1950, 1960[
1954-03-08;1954;[1950, 1960[
1954-03-10;1954;[1950, 1960[
1954-03-26;1954;[1950, 1960[
1954-04-16;1954;[1950, 1960[
1954-04-24;1954;[1950, 1960[
1954-04-28;1954;[1950, 1960[
1954-04-29;1954;[1950, 1960[
1954-05-03;1954;[1950, 1960[
1954-05-16;1954;[1950, 1960[
1954-05-18;1954;[1950, 1960[
1954-05-20;1954;[1950, 1960[
1954-05-24;1954;[1950, 1960[
1954-05-25;1954;[1950, 1960[
1954-05-30;1954;[1950, 1960[
1954-05-31;1954;[1950, 1960[
1954-06-14;1954;[1950, 1960[
1954-06-19;1954;[1950, 1960[
1954-06-24;1954;[1950, 1960[
1954-07-22;1954;[1950, 1960[
1954-07-24;1954;[1950, 1960[
1954-07-30;1954;[1950, 1960[
1954-08-06;1954;[1950, 1960[
1954-08-10;1954;[1950, 1960[
1954-08-18;1954;[1950, 1960[
1954-08-22;1954;[1950, 1960[
1954-08-31;1954;[1950, 1960[
1954-09-05;1954;[1950, 1960[
1954-09-18;1954;[1950, 1960[
1954-09-22;1954;[1950, 1960[
1954-09-23;1954;[1950, 1960[
1954-09-25;1954;[1950, 1960[
1954-10-01;1954;[1950, 1960[
1954-10-16;1954;[1950, 1960[
1954-10-31;1954;[1950, 1960[
1954-11-19;1954;[1950, 1960[
1954-11-20;1954;[1950, 1960[
1954-12-06;1954;[1950, 1960[
1954-12-09;1954;[1950, 1960[
1954-12-23;1954;[1950, 1960[
1954-12-31;1954;[1950, 1960[
1955-01-14;1955;[1950, 1960[
1955-01-23;1955;[1950, 1960[
1955-02-07;1955;[1950, 1960[
1955-02-09;1955;[1950, 1960[
1955-02-16;1955;[1950, 1960[
1955-02-18;1955;[1950, 1960[
1955-02-28;1955;[1950, 1960[
1955-03-04;1955;[1950, 1960[
1955-03-05;1955;[1950, 1960[
1955-03-08;1955;[1950, 1960[
1955-03-10;1955;[1950, 1960[
1955-03-13;1955;[1950, 1960[
1955-03-27;1955;[1950, 1960[
1955-04-03;1955;[1950, 1960[
1955-04-07;1955;[1950, 1960[
1955-04-16;1955;[1950, 1960[
1955-04-19;1955;[1950, 1960[
1955-05-02;1955;[1950, 1960[
1955-05-07;1955;[1950, 1960[
1955-05-12;1955;[1950, 1960[
1955-05-19;1955;[1950, 1960[
1955-05-20;1955;[1950, 1960[
1955-05-24;1955;[1950, 1960[
1955-05-25;1955;[1950, 1960[
1955-05-28;1955;[1950, 1960[
1955-06-08;1955;[1950, 1960[
1955-06-09;1955;[1950, 1960[
1955-06-17;1955;[1950, 1960[
1955-06-18;1955;[1950, 1960[
1955-06-23;1955;[1950, 1960[
1955-07-06;1955;[1950, 1960[
1955-07-24;1955;[1950, 1960[
1955-07-26;1955;[1950, 1960[
1955-07-31;1955;[1950, 1960[
1955-08-19;1955;[1950, 1960[
1955-08-26;1955;[1950, 1960[
1955-08-27;1955;[1950, 1960[
1955-08-28;1955;[1950, 1960[
1955-09-02;1955;[1950, 1960[
1955-09-03;1955;[1950, 1960[
1955-09-04;1955;[1950, 1960[
1955-09-06;1955;[1950, 1960[
1955-09-15;1955;[1950, 1960[
1955-09-19;1955;[1950, 1960[
1955-09-23;1955;[1950, 1960[
1955-10-02;1955;[1950, 1960[
1955-10-13;1955;[1950, 1960[
1955-10-20;1955;[1950, 1960[
1955-10-23;1955;[1950, 1960[
1955-11-04;1955;[1950, 1960[
1955-11-06;1955;[1950, 1960[
1955-11-08;1955;[1950, 1960[
1955-11-16;1955;[1950, 1960[
1955-12-03;1955;[1950, 1960[
1955-12-15;1955;[1950, 1960[
1955-12-21;1955;[1950, 1960[
1955-12-22;1955;[1950, 1960[
1955-12-25;1955;[1950, 1960[
1956-01-03;1956;[1950, 1960[
1956-01-05;1956;[1950, 1960[
1956-01-08;1956;[1950, 1960[
1956-01-27;1956;[1950, 1960[
1956-02-09;1956;[1950, 1960[
1956-02-13;1956;[1950, 1960[
1956-02-24;1956;[1950, 1960[
1956-03-01;1956;[1950, 1960[
1956-03-03;1956;[1950, 1960[
1956-03-11;1956;[1950, 1960[
1956-03-12;1956;[1950, 1960[
1956-03-19;1956;[1950, 1960[
1956-03-24;1956;[1950, 1960[
1956-03-29;1956;[1950, 1960[
1956-04-04;1956;[1950, 1960[
1956-04-11;1956;[1950, 1960[
1956-04-26;1956;[1950, 1960[
1956-05-11;1956;[1950, 1960[
1956-05-12;1956;[1950, 1960[
1956-05-28;1956;[1950, 1960[
1956-05-31;1956;[1950, 1960[
1956-06-03;1956;[1950, 1960[
1956-06-04;1956;[1950, 1960[
1956-06-14;1956;[1950, 1960[
1956-06-28;1956;[1950, 1960[
1956-07-02;1956;[1950, 1960[
1956-07-04;1956;[1950, 1960[
1956-07-27;1956;[1950, 1960[
1956-07-30;1956;[1950, 1960[
1956-08-08;1956;[1950, 1960[
1956-08-10;1956;[1950, 1960[
1956-08-25;1956;[1950, 1960[
1956-08-27;1956;[1950, 1960[
1956-09-01;1956;[1950, 1960[
1956-09-09;1956;[1950, 1960[
1956-09-18;1956;[1950, 1960[
1956-09-20;1956;[1950, 1960[
1956-09-24;1956;[1950, 1960[
1956-09-26;1956;[1950, 1960[
1956-09-27;1956;[1950, 1960[
1956-09-28;1956;[1950, 1960[
1956-10-02;1956;[1950, 1960[
1956-10-10;1956;[1950, 1960[
1956-10-18;1956;[1950, 1960[
1956-10-19;1956;[1950, 1960[
1956-10-24;1956;[1950, 1960[
1956-10-25;1956;[1950, 1960[
1956-11-01;1956;[1950, 1960[
1956-11-03;1956;[1950, 1960[
1956-11-16;1956;[1950, 1960[
1956-11-19;1956;[1950, 1960[
1956-11-21;1956;[1950, 1960[
1956-11-28;1956;[1950, 1960[
1956-11-29;1956;[1950, 1960[
1956-12-21;1956;[1950, 1960[
1956-12-26;1956;[1950, 1960[
1956-12-27;1956;[1950, 1960[
1957-01-02;1957;[1950, 1960[
1957-01-11;1957;[1950, 1960[
1957-01-16;1957;[1950, 1960[
1957-01-18;1957;[1950, 1960[
1957-01-23;1957;[1950, 1960[
1957-01-24;1957;[1950, 1960[
1957-01-25;1957;[1950, 1960[
1957-01-27;1957;[1950, 1960[
1957-01-31;1957;[1950, 1960[
1957-02-04;1957;[1950, 1960[
1957-02-07;1957;[1950, 1960[
1957-02-17;1957;[1950, 1960[
1957-02-25;1957;[1950, 1960[
1957-02-28;1957;[1950, 1960[
1957-03-01;1957;[1950, 1960[
1957-03-02;1957;[1950, 1960[
1957-03-16;1957;[1950, 1960[
1957-03-26;1957;[1950, 1960[
1957-03-28;1957;[1950, 1960[
1957-04-14;1957;[1950, 1960[
1957-04-19;1957;[1950, 1960[
1957-04-22;1957;[1950, 1960[
1957-04-27;1957;[1950, 1960[
1957-04-29;1957;[1950, 1960[
1957-05-07;1957;[1950, 1960[
1957-05-14;1957;[1950, 1960[
1957-05-31;1957;[1950, 1960[
1957-06-20;1957;[1950, 1960[
1957-06-22;1957;[1950, 1960[
1957-07-02;1957;[1950, 1960[
1957-07-09;1957;[1950, 1960[
1957-07-15;1957;[1950, 1960[
1957-07-26;1957;[1950, 1960[
1957-07-30;1957;[1950, 1960[
1957-07-31;1957;[1950, 1960[
1957-08-01;1957;[1950, 1960[
1957-08-05;1957;[1950, 1960[
1957-08-06;1957;[1950, 1960[
1957-08-07;1957;[1950, 1960[
1957-08-09;1957;[1950, 1960[
1957-08-13;1957;[1950, 1960[
1957-08-18;1957;[1950, 1960[
1957-08-20;1957;[1950, 1960[
1957-08-22;1957;[1950, 1960[
1957-09-08;1957;[1950, 1960[
1957-09-09;1957;[1950, 1960[
1957-09-17;1957;[1950, 1960[
1957-09-19;1957;[1950, 1960[
1957-09-25;1957;[1950, 1960[
1957-10-01;1957;[1950, 1960[
1957-10-06;1957;[1950, 1960[
1957-10-11;1957;[1950, 1960[
1957-10-13;1957;[1950, 1960[
1957-10-19;1957;[1950, 1960[
1957-10-28;1957;[1950, 1960[
1957-10-30;1957;[1950, 1960[
1957-11-05;1957;[1950, 1960[
1957-11-08;1957;[1950, 1960[
1957-11-11;1957;[1950, 1960[
1957-11-16;1957;[1950, 1960[
1957-11-26;1957;[1950, 1960[
1957-11-29;1957;[1950, 1960[
1957-11-30;1957;[1950, 1960[
1957-12-06;1957;[1950, 1960[
1957-12-13;1957;[1950, 1960[
1957-12-17;1957;[1950, 1960[
1957-12-24;1957;[1950, 1960[
1957-12-28;1957;[1950, 1960[
1958-01-01;1958;[1950, 1960[
1958-01-18;1958;[1950, 1960[
1958-01-28;1958;[1950, 1960[
1958-02-01;1958;[1950, 1960[
1958-02-02;1958;[1950, 1960[
1958-02-06;1958;[1950, 1960[
1958-03-04;1958;[1950, 1960[
1958-03-08;1958;[1950, 1960[
1958-03-11;1958;[1950, 1960[
1958-03-18;1958;[1950, 1960[
1958-03-25;1958;[1950, 1960[
1958-04-03;1958;[1950, 1960[
1958-04-06;1958;[1950, 1960[
1958-04-10;1958;[1950, 1960[
1958-04-11;1958;[1950, 1960[
1958-04-13;1958;[1950, 1960[
1958-05-26;1958;[1950, 1960[
1958-05-29;1958;[1950, 1960[
1958-06-03;1958;[1950, 1960[
1958-06-04;1958;[1950, 1960[
1958-06-12;1958;[1950, 1960[
1958-06-13;1958;[1950, 1960[
1958-06-22;1958;[1950, 1960[
1958-07-03;1958;[1950, 1960[
1958-07-09;1958;[1950, 1960[
1958-07-12;1958;[1950, 1960[
1958-07-14;1958;[1950, 1960[
1958-07-15;1958;[1950, 1960[
1958-07-25;1958;[1950, 1960[
1958-08-19;1958;[1950, 1960[
1958-08-26;1958;[1950, 1960[
1958-09-14;1958;[1950, 1960[
1958-09-17;1958;[1950, 1960[
1958-09-19;1958;[1950, 1960[
1958-09-24;1958;[1950, 1960[
1958-09-28;1958;[1950, 1960[
1958-10-02;1958;[1950, 1960[
1958-10-09;1958;[1950, 1960[
1958-10-12;1958;[1950, 1960[
1958-10-17;1958;[1950, 1960[
1958-10-19;1958;[1950, 1960[
1958-10-23;1958;[1950, 1960[
1958-11-03;1958;[1950, 1960[
1958-11-10;1958;[1950, 1960[
1958-11-11;1958;[1950, 1960[
